Id	Word	Meaning	Pronunciation	AudioUrl
6445	leap	nhảy vọt	/liːp/	
6446	leasehold	quyền thuê (bất động sản)	/ˈliːs.hoʊld/	
6447	leash	dây xích chó	/liːʃ/	
6448	leather	da thuộc	/ˈleð.ɚ/	
6449	lecture hall	giảng đường	/ˈlek.tʃɚ ˌhɑːl/	
6450	lecturer	giảng viên	/ˈlek.tʃɚ.ɚ/	
6451	ledge	gờ, rìa (tường, đá)	/ledʒ/	
6452	leeway	sự tự do hành động; khoảng trống	/ˈliː.weɪ/	
6453	legacy	di sản	/ˈleɡ.ə.si/	
6454	legal aid	trợ giúp pháp lý	/ˌliː.ɡəl ˈeɪd/	
6455	legalize	hợp pháp hóa	/ˈliː.ɡəl.aɪz/	
6456	legend	huyền thoại; chú giải (bản đồ)	/ˈledʒ.ənd/	
6457	legendary	thuộc về huyền thoại	/ˈledʒ.ən.der.i/	
6458	legible	rõ ràng, dễ đọc	/ˈledʒ.ə.bəl/	
6459	legion	quân đoàn; đám đông	/ˈliː.dʒən/	
6460	legislate	làm luật	/ˈledʒ.ɪ.sleɪt/	
6461	legislative	lập pháp	/ˈledʒ.ɪ.sleɪ.t̬ɪv/	
6462	legislature	cơ quan lập pháp	/ˈledʒ.ɪ.sleɪ.tʃɚ/	
6463	leisure	thời gian rảnh rỗi	/ˈliː.ʒɚ/	
6464	lemon	quả chanh vàng	/ˈlem.ən/	
6465	lemonade	nước chanh	/ˌlem.əˈneɪd/	
6466	lengthy	dài dòng	/ˈleŋ.θi/	
6467	lens	thấu kính	/lenz/	
6468	leopard	con báo	/ˈlep.ɚd/	
6469	lesbian	đồng tính nữ	/ˈlez.bi.ən/	
6470	lessen	làm giảm bớt	/ˈles.ən/	
6471	lesser	nhỏ hơn, ít quan trọng hơn	/ˈles.ɚ/	
6472	lethal	gây chết người	/ˈliː.θəl/	
6473	lethargy	sự hôn mê, thờ ơ	/ˈleθ.ɚ.dʒi/	
6474	letter bomb	bom thư	/ˈlet̬.ɚ ˌbɑːm/	
6475	lettuce	rau xà lách	/ˈlet̬.ɪs/	
6476	level crossing	đường ngang đường sắt	/ˈlev.əl ˌkrɑː.sɪŋ/	
6477	lever	đòn bẩy	/ˈlev.ɚ/	
6478	liability insurance	bảo hiểm trách nhiệm	/ˌlaɪ.əˈbɪl.ə.t̬i ɪnˌʃʊr.əns/	
6479	liaison	sự liên lạc	/liˈeɪ.zɑːn/	
6480	liar	kẻ nói dối	/ˈlaɪ.ɚ/	
6481	libel	lời phỉ báng (viết)	/ˈlaɪ.bəl/	
6482	liberal	tự do, phóng khoáng	/ˈlɪb.ɚ.əl/	
6483	liberate	giải phóng	/ˈlɪb.ə.reɪt/	
6484	liberty	sự tự do	/ˈlɪb.ɚ.t̬i/	
6485	librarian	thủ thư	/laɪˈbrer.i.ən/	
6486	license plate	biển số xe	/ˈlaɪ.səns ˌpleɪt/	
6487	lick	liếm	/lɪk/	
6488	lid	cái nắp	/lɪd/	
6489	lie detector	máy phát hiện nói dối	/ˈlaɪ dɪˌtek.tɚ/	
6490	lieutenant	trung úy	/luːˈten.ənt/	
6491	lifeboat	thuyền cứu sinh	/ˈlaɪf.boʊt/	
6492	lifeguard	nhân viên cứu hộ (bể bơi, bãi biển)	/ˈlaɪf.ɡɑːrd/	
6493	lifeless	vô hồn, không sức sống	/ˈlaɪf.ləs/	
6494	lifelong	suốt đời	/ˈlaɪf.lɑːŋ/	
6495	lifespan	tuổi thọ	/ˈlaɪf.spæn/	
6496	lifestyle	lối sống	/ˈlaɪf.staɪl/	
6497	lifetime	cả đời	/ˈlaɪf.taɪm/	
6498	lift off	phóng lên (tên lửa)	/ˈlɪft ɑːf/	
6499	light bulb	bóng đèn tròn	/ˈlaɪt ˌbʌlb/	
6500	lighten	làm nhẹ đi; làm sáng lên	/ˈlaɪ.tən/	
6501	lighthouse	hải đăng	/ˈlaɪt.haʊs/	
6502	lighting	sự chiếu sáng	/ˈlaɪ.t̬ɪŋ/	
6503	lightly	nhẹ nhàng	/ˈlaɪt.li/	
6504	lightning	tia chớp	/ˈlaɪt.nɪŋ/	
6505	lightweight	nhẹ cân	/ˈlaɪt.weɪt/	
6506	likable	dễ thương, đáng yêu	/ˈlaɪ.kə.bəl/	
6507	likelihood	khả năng xảy ra	/ˈlaɪ.kli.hʊd/	
6508	likewise	tương tự như vậy	/ˈlaɪk.waɪz/	
6509	lily	hoa huệ tây	/ˈlɪl.i/	
6510	limb	chân tay; cành cây lớn	/lɪm/	
6511	lime	chanh vỏ xanh; vôi	/laɪm/	
6512	limelight	ánh đèn sân khấu; sự chú ý của công chúng	/ˈlaɪm.laɪt/	
6513	limestone	đá vôi	/ˈlaɪm.stoʊn/	
6514	limitless	vô hạn	/ˈlɪm.ɪt.ləs/	
6515	limousine	xe limousine	/ˈlɪm.ə.ziːn/	
6516	limp	đi khập khiễng; mềm yếu	/lɪmp/	
6517	lineage	dòng dõi	/ˈlɪn.i.ɪdʒ/	
6518	linear	tuyến tính, thẳng	/ˈlɪn.i.ɚ/	
6519	linen	vải lanh	/ˈlɪn.ən/	
6520	liner	tàu biển lớn; lớp lót	/ˈlaɪ.nɚ/	
6521	linger	nấn ná, chần chừ	/ˈlɪŋ.ɡɚ/	
6522	linguist	nhà ngôn ngữ học	/ˈlɪŋ.ɡwɪst/	
6523	linguistics	ngôn ngữ học	/lɪŋˈɡwɪs.tɪks/	
6524	lining	lớp lót	/ˈlaɪ.nɪŋ/	
6525	linkage	sự liên kết	/ˈlɪŋ.kɪdʒ/	
6526	lion	sư tử	/ˈlaɪ.ən/	
6527	lip-read	đọc môi	/ˈlɪp.riːd/	
6528	lipstick	son môi	/ˈlɪp.stɪk/	
6529	liquor	rượu mạnh	/ˈlɪk.ɚ/	
6530	list price	giá niêm yết	/ˈlɪst ˌpraɪs/	
6531	listen in	nghe lén (điện thoại)	/ˈlɪs.ən ɪn/	
6532	listener	người nghe	/ˈlɪs.ən.ɚ/	
6533	listing	danh sách; việc niêm yết	/ˈlɪs.tɪŋ/	
6534	listless	bơ phờ, uể oải	/ˈlɪst.ləs/	
6535	liter	lít	/ˈliː.t̬ɚ/	
6536	literacy	trình độ học vấn, biết đọc biết viết	/ˈlɪt̬.ɚ.ə.si/	
6537	literal	theo nghĩa đen	/ˈlɪt̬.ɚ.əl/	
6538	literally	theo nghĩa đen; thật sự	/ˈlɪt̬.ɚ.əl.i/	
6539	literary	thuộc về văn học	/ˈlɪt̬.ə.rer.i/	
6540	literate	biết đọc biết viết	/ˈlɪt̬.ɚ.ət/	
6541	literature	văn học	/ˈlɪt̬.ɚ.ə.tʃɚ/	
6542	lithium	liti	/ˈlɪθ.i.əm/	
6543	litigate	kiện tụng	/ˈlɪt̬.ə.ɡeɪt/	
6544	litter	rác; lứa đẻ (chó, mèo)	/ˈlɪt̬.ɚ/	
6545	live broadcast	truyền hình trực tiếp	/ˌlaɪv ˈbrɑːd.kæst/	
6546	livelihood	kế sinh nhai	/ˈlaɪv.li.hʊd/	
6547	lively	sống động, hoạt bát	/ˈlaɪv.li/	
6548	liver	gan	/ˈlɪv.ɚ/	
6549	livestock	gia súc	/ˈlaɪv.stɑːk/	
6550	livid	tím tái (vì giận)	/ˈlɪv.ɪd/	
6551	living room	phòng khách	/ˈlɪv.ɪŋ ˌruːm/	
6552	lizard	thằn lằn	/ˈlɪz.ɚd/	
6553	loaf	ổ bánh mì	/loʊf/	
6554	loan shark	kẻ cho vay nặng lãi	/ˈloʊn ˌʃɑːrk/	
6555	loathe	ghê tởm, căm ghét	/loʊð/	
6556	lobbyist	người vận động hành lang	/ˈlɑː.bi.ɪst/	
6557	lobster	tôm hùm	/ˈlɑːb.stɚ/	
6558	local call	cuộc gọi nội hạt	/ˈloʊ.kəl ˌkɑːl/	
6559	locality	địa phương, vùng lân cận	/loʊˈkæl.ə.t̬i/	
6560	locker	tủ có khóa	/ˈlɑː.kɚ/	
6561	locomotive	đầu máy xe lửa	/ˌloʊ.kəˈmoʊ.t̬ɪv/	
6562	locust	châu chấu	/ˈloʊ.kəst/	
6563	lodge	nhà nghỉ nhỏ; ở trọ	/lɑːdʒ/	
6564	lodging	chỗ ở trọ	/ˈlɑː.dʒɪŋ/	
6565	loft	gác xép	/lɑːft/	
6566	log	khúc gỗ; nhật ký	/lɑːɡ/	
6567	logic	logic	/ˈlɑː.dʒɪk/	
6568	loiter	lảng vảng	/ˈlɔɪ.t̬ɚ/	
6569	lonely	cô đơn	/ˈloʊn.li/	
6570	lonesome	cô đơn, hiu quạnh	/ˈloʊn.səm/	
6571	long distance	đường dài (điện thoại)	/ˌlɑːŋ ˈdɪs.təns/	
6572	longevity	tuổi thọ cao	/lɑːnˈdʒev.ə.t̬i/	
6573	longitude	kinh độ	/ˈlɑːn.dʒə.tuːd/	
6574	loom	khung cửi; hiện ra lờ mờ	/luːm/	
6575	loop	vòng lặp	/luːp/	
6576	loot	cướp bóc; đồ cướp được	/luːt/	
6577	lord	chúa tể, lãnh chúa	/lɔːrd/	
6578	lorry	xe tải (UK)	/ˈlɔːr.i/	
6579	lottery	xổ số	/ˈlɑː.t̬ɚ.i/	
6580	lotus	hoa sen	/ˈloʊ.t̬əs/	
6581	loudspeaker	loa	/ˈlaʊdˌspiː.kɚ/	
6582	lounge	phòng chờ; đi thơ thẩn	/laʊndʒ/	
6583	lousy	tồi tệ, đáng khinh	/ˈlaʊ.zi/	
6584	lovable	đáng yêu	/ˈlʌv.ə.bəl/	
6585	lovely	đáng yêu, xinh đẹp	/ˈlʌv.li/	
6586	lover	người yêu	/ˈlʌv.ɚ/	
6587	low tide	thủy triều xuống	/ˌloʊ ˈtaɪd/	
6588	loyal	trung thành	/ˈlɔɪ.əl/	
6589	loyalty	lòng trung thành	/ˈlɔɪ.əl.t̬i/	
6590	lubricant	chất bôi trơn	/ˈluː.brɪ.kənt/	
6591	lubricate	bôi trơn	/ˈluː.brɪ.keɪt/	
6592	lucid	sáng sủa, minh mẫn	/ˈluː.sɪd/	
6593	luckily	một cách may mắn	/ˈlʌk.əl.i/	
6594	lucky	may mắn	/ˈlʌk.i/	
6595	lucrative	có lợi, sinh lời	/ˈluː.krə.t̬ɪv/	
6596	ludicrous	lố bịch, buồn cười	/ˈluː.də.krəs/	
6597	lukewarm	ấm áp; thờ ơ	/ˌluːkˈwɔːrm/	
6598	lull	ru ngủ; sự tạm lắng	/lʌl/	
6599	lullaby	bài hát ru	/ˈlʌl.ə.baɪ/	
6600	lumber	gỗ xẻ	/ˈlʌm.bɚ/	
6601	luminous	sáng rực, dạ quang	/ˈluː.mə.nəs/	
6602	lump	cục, tảng	/lʌmp/	
6603	lunacy	sự điên rồ	/ˈluː.nə.si/	
6604	lunar	thuộc mặt trăng	/ˈluː.nɚ/	
6605	lunatic	người điên	/ˈluː.nə.t̬ɪk/	
6606	lunch break	giờ nghỉ trưa	/ˈlʌntʃ ˌbreɪk/	
6607	luncheon	bữa tiệc trưa trang trọng	/ˈlʌn.tʃən/	
6608	lung	phổi	/lʌŋ/	
6609	lunge	lao tới	/lʌndʒ/	
6610	lurch	lảo đảo	/lɝːtʃ/	
6611	lure	quyến rũ, nhử mồi	/lʊr/	
6612	lurid	ghê rợn, sặc sỡ chói mắt	/ˈlʊr.ɪd/	
6613	lurk	ẩn nấp, rình rập	/lɝːk/	
6614	luscious	ngon ngọt, thơm ngon	/ˈlʌʃ.əs/	
6615	lush	tươi tốt, sum suê	/lʌʃ/	
6616	lust	ham muốn, dục vọng	/lʌst/	
6617	luster	ánh kim; vẻ rạng rỡ	/ˈlʌs.tɚ/	
6618	luxurious	sang trọng, xa hoa	/lʌɡˈʒʊr.i.əs/	
6619	luxury	sự xa xỉ	/ˈlʌk.ʃɚ.i/	
6620	lyric	trữ tình; lời bài hát	/ˈlɪr.ɪk/	
6621	macaroni	mì ống	/ˌmæk.əˈroʊ.ni/	
6622	machine gun	súng máy	/məˈʃiːn ˌɡʌn/	
6623	machinist	thợ máy	/məˈʃiː.nɪst/	
6624	mackerel	cá thu	/ˈmæk.ər.əl/	
6625	mad	điên, tức giận	/mæd/	
6626	madam	quý bà	/ˈmæd.əm/	
6627	magazine rack	giá để tạp chí	/ˈmæɡ.ə.ziːn ˌræk/	
6628	maggot	giòi	/ˈmæɡ.ət/	
6629	magic	ma thuật	/ˈmædʒ.ɪk/	
6630	magician	ảo thuật gia	/məˈdʒɪʃ.ən/	
6631	magistrate	quan tòa sơ thẩm	/ˈmædʒ.ə.streɪt/	
6632	magnet	nam châm	/ˈmæɡ.nət/	
6633	magnetic	có từ tính	/mæɡˈnet̬.ɪk/	
6634	magnificent	tráng lệ, nguy nga	/mæɡˈnɪf.ə.sənt/	
6635	magnify	phóng đại	/ˈmæɡ.nə.faɪ/	
6636	magnitude	tầm lớn, độ lớn	/ˈmæɡ.nə.tuːd/	
6637	maid	người giúp việc nữ	/meɪd/	
6638	maiden	thiếu nữ; đầu tiên	/ˈmeɪ.dən/	
6639	mail carrier	người đưa thư	/ˈmeɪl ˌker.i.ɚ/	
6640	main course	món chính	/ˌmeɪn ˈkɔːrs/	
6641	mainframe	máy tính lớn	/ˈmeɪn.freɪm/	
6642	mainland	lục địa	/ˈmeɪn.lænd/	
6643	mainly	chủ yếu	/ˈmeɪn.li/	
6644	mainstay	trụ cột	/ˈmeɪn.steɪ/	
6645	maintenance	sự bảo trì	/ˈmeɪn.tən.əns/	
6646	majestic	uy nghi, tráng lệ	/məˈdʒes.tɪk/	
6647	majesty	vẻ uy nghi; bệ hạ	/ˈmædʒ.ə.sti/	
6648	majority	đa số	/məˈdʒɔːr.ə.t̬i/	
6649	make believe	giả vờ	/ˌmeɪk bɪˈliːv/	
6650	make do	xoay xở, dùng tạm	/ˌmeɪk ˈduː/	
6651	make for	đi về hướng	/ˈmeɪk fɔːr/	
6652	make fun of	chế nhạo	/ˌmeɪk ˈfʌn əv/	
6653	make sense	có lý, hợp lý	/ˌmeɪk ˈsens/	
6654	make up	trang điểm; bịa chuyện; làm hòa	/ˈmeɪk ʌp/	
6655	maker	người làm ra, nhà sản xuất	/ˈmeɪ.kɚ/	
6656	makeshift	tạm thời, thay thế	/ˈmeɪk.ʃɪft/	
6657	makeup	đồ trang điểm; cấu tạo	/ˈmeɪk.ʌp/	
6658	malady	bệnh tật	/ˈmæl.ə.di/	
6659	malaria	bệnh sốt rét	/məˈler.i.ə/	
6660	malcontent	người bất mãn	/ˈmæl.kən.tent/	
6661	malevolent	có ác ý	/məˈlev.əl.ənt/	
6662	malice	ác tâm, ác ý	/ˈmæl.ɪs/	
6663	malicious	hiểm độc, ác ý	/məˈlɪʃ.əs/	
6664	malign	nói xấu, phỉ báng; ác tính	/məˈlaɪn/	
6665	malignant	ác tính (khối u)	/məˈlɪɡ.nənt/	
6666	mallet	cái vồ, búa gỗ	/ˈmæl.ɪt/	
6667	malnutrition	suy dinh dưỡng	/ˌmæl.nuːˈtrɪʃ.ən/	
6668	malpractice	sơ suất nghề nghiệp (y tế, luật)	/ˌmælˈpræk.tɪs/	
6669	malt	mạch nha	/mɑːlt/	
6670	mammal	động vật có vú	/ˈmæm.əl/	
6671	mammoth	voi ma mút; khổng lồ	/ˈmæm.əθ/	
6672	managerial	thuộc về quản lý	/ˌmæn.əˈdʒɪr.i.əl/	
6673	managing director	giám đốc điều hành	/ˌmæn.ɪ.dʒɪŋ daɪˈrek.tɚ/	
6674	manger	máng ăn (gia súc)	/ˈmeɪn.dʒɚ/	
6675	mangle	làm biến dạng	/ˈmæŋ.ɡəl/	
6676	mango	quả xoài	/ˈmæŋ.ɡoʊ/	
6677	manhood	tuổi trưởng thành (nam)	/ˈmæn.hʊd/	
6678	man-hour	giờ công lao động	/ˈmæn ˌaʊr/	
6679	mania	chứng cuồng	/ˈmeɪ.ni.ə/	
6680	maniac	người điên cuồng	/ˈmeɪ.ni.æk/	
6681	manifest	biểu lộ; bản kê khai hàng hóa	/ˈmæn.ə.fest/	
6682	manifesto	tuyên ngôn	/ˌmæn.əˈfes.toʊ/	
6683	manipulate	thao túng, điều khiển	/məˈnɪp.jə.leɪt/	
6684	mankind	nhân loại	/ˌmænˈkaɪnd/	
6685	manly	nam tính	/ˈmæn.li/	
6686	mannequin	ma-nơ-canh	/ˈmæn.ə.kɪn/	
6687	manor	thái ấp, trang viên	/ˈmæn.ɚ/	
6688	manpower	nhân lực	/ˈmæn.paʊ.ɚ/	
6689	mansion	biệt thự lớn	/ˈmæn.ʃən/	
6690	manslaughter	tội ngộ sát	/ˈmæn.slɑː.t̬ɚ/	
6691	mantelpiece	bệ lò sưởi	/ˈmæn.təl.piːs/	
6692	manufactured goods	hàng chế tạo	/ˌmæn.jəˈfæk.tʃɚd ˌɡʊdz/	
6693	manufacturer	nhà sản xuất	/ˌmæn.jəˈfæk.tʃɚ.ɚ/	
6694	manure	phân bón (chuồng)	/məˈnʊr/	
6695	manuscript	bản thảo viết tay	/ˈmæn.jə.skrɪpt/	
6696	maple	cây phong	/ˈmeɪ.pəl/	
6697	mar	làm hỏng	/mɑːr/	
6698	marathon	cuộc đua ma-ra-tông	/ˈmer.ə.θɑːn/	
6699	marble	đá cẩm thạch; viên bi	/ˈmɑːr.bəl/	
6700	march	tháng Ba; diễu hành	/mɑːrtʃ/	
6701	mare	ngựa cái	/mer/	
6702	margarine	bơ thực vật	/ˈmɑːr.dʒɚ.ɪn/	
6703	margin	lề; mép; biên độ	/ˈmɑːr.dʒɪn/	
6704	marginal	nhỏ, không đáng kể; cận biên	/ˈmɑːr.dʒɪ.nəl/	
6705	marijuana	cần sa	/ˌmer.əˈwɑː.nə/	
6706	marine	thuộc về biển; lính thủy đánh bộ	/məˈriːn/	
6707	maritime	thuộc về hàng hải	/ˈmer.ə.taɪm/	
6708	marked	rõ rệt, đáng chú ý	/mɑːrkt/	
6709	marker	bút đánh dấu; vật đánh dấu	/ˈmɑːr.kɚ/	
6710	marketplace	thị trường, nơi mua bán	/ˈmɑːr.kɪt.pleɪs/	
6711	marmalade	mứt cam	/ˈmɑːr.mə.leɪd/	
6712	maroon	màu hạt dẻ; bỏ rơi trên đảo hoang	/məˈruːn/	
6713	marriage	hôn nhân	/ˈmer.ɪdʒ/	
6714	married	đã kết hôn	/ˈmer.id/	
6715	marrow	tủy xương	/ˈmer.oʊ/	
6716	marsh	đầm lầy	/mɑːrʃ/	
6717	marshal	thống chế; cảnh sát trưởng	/ˈmɑːr.ʃəl/	
6718	mart	chợ, trung tâm mua bán	/mɑːrt/	
6719	martial	thuộc về quân sự, chiến đấu	/ˈmɑːr.ʃəl/	
6720	martyr	người tử vì đạo	/ˈmɑːr.t̬ɚ/	
6721	marvel	kỳ quan; kinh ngạc	/ˈmɑːr.vəl/	
6722	marvelous	tuyệt vời, kỳ diệu	/ˈmɑːr.vəl.əs/	
6723	marxism	chủ nghĩa Mác	/ˈmɑːrk.sɪ.zəm/	
6724	mascot	linh vật	/ˈmæs.kɑːt/	
6725	masculine	nam tính	/ˈmæs.kjə.lɪn/	
6726	mash	nghiền nát	/mæʃ/	
6727	mask	mặt nạ; che giấu	/mæsk/	
6728	mason	thợ xây đá	/ˈmeɪ.sən/	
6729	mass	khối lượng; quần chúng; thánh lễ	/mæs/	
6730	massacre	cuộc thảm sát	/ˈmæs.ə.kɚ/	
6731	massage	xoa bóp, mát-xa	/məˈsɑːʒ/	
6732	massive	to lớn, đồ sộ	/ˈmæs.ɪv/	
6733	mast	cột buồm	/mæst/	
6734	master	bậc thầy; làm chủ	/ˈmæs.tɚ/	
6735	masterpiece	kiệt tác	/ˈmæs.tɚ.piːs/	
6736	mat	chiếu, thảm chùi chân	/mæt/	
6737	mate	bạn đời; bạn cùng phòng	/meɪt/	
6738	materialism	chủ nghĩa duy vật; chủ nghĩa vật chất	/məˈtɪr.i.ə.lɪ.zəm/	
6739	maternal	thuộc về mẹ	/məˈtɝː.nəl/	
6740	maternity	thiên chức làm mẹ; thai sản	/məˈtɝː.nə.t̬i/	
6741	mathematics	toán học	/ˌmæθˈmæt̬.ɪks/	
6742	matinee	buổi biểu diễn ban ngày	/ˌmæt̬.ənˈeɪ/	
6743	matrix	ma trận	/ˈmeɪ.trɪks/	
6744	mattress	đệm	/ˈmæt.rəs/	
6745	mature	trưởng thành, chín chắn	/məˈtʃʊr/	
6746	maturity	sự trưởng thành	/məˈtʃʊr.ə.t̬i/	
6747	may	tháng Năm; có thể	/meɪ/	
6748	mayonnaise	xốt mayonnaise	/ˈmeɪ.ə.neɪz/	
6749	mayor	thị trưởng	/ˈmeɪ.ɚ/	
6750	maze	mê cung	/meɪz/	
6751	meadow	đồng cỏ	/ˈmed.oʊ/	
6752	meager	ít ỏi, đạm bạc	/ˈmiː.ɡɚ/	
6753	mealtime	giờ ăn	/ˈmiːl.taɪm/	
6754	meanwhile	trong khi đó	/ˈmiːn.waɪl/	
6755	measurable	có thể đo lường được	/ˈmeʒ.ɚ.ə.bəl/	
6756	measurement	sự đo lường	/ˈmeʒ.ɚ.mənt/	
6757	meatball	thịt viên	/ˈmiːt.bɑːl/	
6758	mechanical	thuộc về cơ khí	/məˈkæn.ɪ.kəl/	
6759	mechanism	cơ chế	/ˈmek.ə.nɪ.zəm/	
6760	medal	huy chương	/ˈmed.əl/	
6761	meddle	can thiệp vào	/ˈmed.əl/	
6762	media coverage	mức độ đưa tin của truyền thông	/ˈmiː.di.ə ˌkʌv.ɚ.ɪdʒ/	
6763	mediate	hòa giải	/ˈmiː.di.eɪt/	
6764	medical certificate	giấy chứng nhận sức khỏe	/ˈmed.ɪ.kəl sɚˌtɪf.ə.kət/	
6765	medicate	cho uống thuốc	/ˈmed.ɪ.keɪt/	
6766	medication	thuốc men	/ˌmed.əˈkeɪ.ʃən/	
6767	medicine cabinet	tủ thuốc	/ˈmed.ə.sən ˌkæb.ən.ət/	
6768	medieval	thuộc thời Trung cổ	/ˌmed.iˈiː.vəl/	
6769	mediocre	tầm thường, xoàng xĩnh	/ˌmiː.diˈoʊ.kɚ/	
6770	meditate	thiền định; suy ngẫm	/ˈmed.ə.teɪt/	
6771	meditation	sự thiền định	/ˌmed.əˈteɪ.ʃən/	
6772	medium-sized	cỡ trung bình	/ˈmiː.di.əm.saɪzd/	
6773	meek	hiền lành, nhu mì	/miːk/	
6774	meet up	gặp gỡ (thân mật)	/ˈmiːt ʌp/	
6775	meeting minutes	biên bản cuộc họp	/ˈmiː.t̬ɪŋ ˈmɪn.ɪts/	
6776	megaphone	loa cầm tay	/ˈmeɡ.ə.foʊn/	
6777	melancholy	u sầu, buồn bã	/ˈmel.əŋ.kɑː.li/	
6778	mellow	êm dịu; chín muồi	/ˈmel.oʊ/	
6779	melodious	du dương, êm tai	/məˈloʊ.di.əs/	
6780	melody	giai điệu	/ˈmel.ə.di/	
6781	melon	dưa	/ˈmel.ən/	
6782	melt	tan chảy	/melt/	
6783	membership	tư cách thành viên; hội viên	/ˈmem.bɚ.ʃɪp/	
6784	memo pad	giấy ghi nhớ	/ˈmem.oʊ ˌpæd/	
6785	memoir	hồi ký	/ˈmem.wɑːr/	
6786	memorable	đáng nhớ	/ˈmem.ər.ə.bəl/	
6787	memorial	đài tưởng niệm	/məˈmɔːr.i.əl/	
6788	memorize	ghi nhớ, học thuộc lòng	/ˈmem.ə.raɪz/	
6789	menace	mối đe dọa	/ˈmen.əs/	
6790	mend	sửa chữa, vá	/mend/	
6791	mental	thuộc về tinh thần	/ˈmen.təl/	
6792	mentality	tâm lý, tinh thần	/menˈtæl.ə.t̬i/	
6793	menu bar	thanh thực đơn	/ˈmen.juː ˌbɑːr/	
6794	merchant ship	tàu buôn	/ˈmɝː.tʃənt ˌʃɪp/	
6795	merciful	nhân từ, khoan dung	/ˈmɝː.sɪ.fəl/	
6796	merciless	tàn nhẫn	/ˈmɝː.si.ləs/	
6797	mercury	thủy ngân; sao Thủy	/ˈmɝː.kjə.ri/	
6798	mercy	lòng nhân từ	/ˈmɝː.si/	
6799	mere	chỉ là	/mɪr/	
6800	merely	chỉ, đơn thuần	/ˈmɪr.li/	
6801	merit badge	huy hiệu thành tích (hướng đạo)	/ˈmer.ɪt ˌbædʒ/	
6802	merry	vui vẻ	/ˈmer.i/	
6803	mesh	lưới; ăn khớp	/meʃ/	
6804	mess	sự bừa bộn; mớ hỗn độn	/mes/	
6805	messenger	người đưa tin	/ˈmes.ən.dʒɚ/	
6806	messy	bừa bộn	/ˈmes.i/	
6807	metabolism	sự trao đổi chất	/məˈtæb.əl.ɪ.zəm/	
6808	metallic	kim loại	/məˈtæl.ɪk/	
6809	metaphor	phép ẩn dụ	/ˈmet̬.ə.fɔːr/	
6810	meteor	sao băng	/ˈmiː.t̬i.ɔːr/	
6811	meteorology	khí tượng học	/ˌmiː.t̬i.əˈrɑː.lə.dʒi/	
6812	meter	mét; đồng hồ đo	/ˈmiː.t̬ɚ/	
6813	methodical	có phương pháp, ngăn nắp	/məˈθɑː.dɪ.kəl/	
6814	meticulous	tỉ mỉ, kỹ lưỡng	/məˈtɪk.jə.ləs/	
6815	metric	hệ mét	/ˈmet.rɪk/	
6816	metropolis	thành phố lớn, thủ phủ	/məˈtrɑː.pə.lɪs/	
6817	microphone	micrô	/ˈmaɪ.krə.foʊn/	
6818	microscope	kính hiển vi	/ˈmaɪ.krə.skoʊp/	
6819	microwave	vi sóng; lò vi sóng	/ˈmaɪ.kroʊ.weɪv/	
6820	midday	giữa trưa	/ˈmɪd.deɪ/	
6821	middle age	tuổi trung niên	/ˌmɪd.əl ˈeɪdʒ/	
6822	middle class	tầng lớp trung lưu	/ˌmɪd.əl ˈklæs/	
6823	midnight	nửa đêm	/ˈmɪd.naɪt/	
6824	midst	ở giữa	/mɪdst/	
6825	midwife	nữ hộ sinh	/ˈmɪd.waɪf/	
6826	mighty	mạnh mẽ, hùng mạnh	/ˈmaɪ.t̬i/	
6827	migrant	người di cư	/ˈmaɪ.ɡrənt/	
6828	migrate	di cư	/ˈmaɪ.ɡreɪt/	
6829	mildew	nấm mốc	/ˈmɪl.duː/	
6830	mile	dặm	/maɪl/	
6831	militant	chiến đấu; phần tử hiếu chiến	/ˈmɪl.ə.tənt/	
6832	militarize	quân sự hóa	/ˈmɪl.ə.tə.raɪz/	
6833	militia	dân quân	/məˈlɪʃ.ə/	
6834	milkman	người giao sữa	/ˈmɪlk.mæn/	
6835	mill	nhà máy xay; cối xay	/mɪl/	
6836	millennium	thiên niên kỷ	/mɪˈlen.i.əm/	
6837	miller	người xay bột	/ˈmɪl.ɚ/	
6838	million	triệu	/ˈmɪl.jən/	
6839	millionaire	triệu phú	/ˌmɪl.jəˈner/	
6840	mime	kịch câm	/maɪm/	
6841	mimic	bắt chước	/ˈmɪm.ɪk/	
6842	mince	băm nhỏ	/mɪns/	
6843	mindful	lưu tâm, để ý	/ˈmaɪnd.fəl/	
6844	minefield	bãi mìn	/ˈmaɪn.fiːld/	
6845	miner	thợ mỏ	/ˈmaɪ.nɚ/	
6846	mineral	khoáng sản	/ˈmɪn.ər.əl/	
6847	mingle	hòa lẫn, giao thiệp	/ˈmɪŋ.ɡəl/	
6848	miniature	thu nhỏ	/ˈmɪn.i.ə.tʃɚ/	
6849	minimal	tối thiểu	/ˈmɪn.ə.məl/	
6850	minimize	giảm thiểu	/ˈmɪn.ə.maɪz/	
6851	mining	khai thác mỏ	/ˈmaɪ.nɪŋ/	
6852	ministry	bộ (cơ quan chính phủ)	/ˈmɪn.ə.stri/	
6853	mink	chồn (lấy lông)	/mɪŋk/	
6854	minority	thiểu số	/maɪˈnɔːr.ə.t̬i/	
6855	mint	bạc hà; nơi đúc tiền	/mɪnt/	
6856	minuscule	rất nhỏ	/ˈmɪn.ə.skjuːl/	
